data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:15:23.0388108Z,2017-03-14T20:04:17.4937751Z,2018-05-05T13:15:23.0388108Z,2017-03-14T20:04:17.4937751Z,2017-03-14,9,1269830.0,2018-05-05T13:02:15.0000000Z,2017-03-14T22:00:23.0000000Z,GATECOIN,Gatecoin,https://gatecoin.com/
2018-04-26,2018-04-26T14:54:52.6421291Z,2017-03-18T22:53:45.5791610Z,2018-04-26T14:54:52.6421291Z,2017-03-18T22:53:45.5791610Z,2015-06-26,26,1029303.0,2018-04-26T21:52:18.0000000Z,2015-06-26T11:19:16.0000000Z,BXINTH,bx.in.th,https://bx.in.th/
2018-04-19,2018-04-19T11:38:23.3076990Z,2018-01-24T00:42:46.1912329Z,2018-04-19T11:38:23.3076990Z,2018-01-24T00:42:46.1912329Z,2017-06-19,50,882987.0,2018-04-19T11:36:46.4120000Z,2017-06-19T05:31:08.2600000Z,ALLCOIN,Allcoin,https://www.allcoin.com/
2018-05-05,2018-05-05T13:15:16.8821395Z,2017-03-14T20:04:13.3389084Z,2018-05-05T13:15:16.8821395Z,2017-03-14T20:04:13.3389084Z,2017-03-14,2,784940.0,2018-05-05T13:10:02.7730000Z,2017-03-14T20:04:43.2020000Z,COINMATE,Coin Mate,https://coinmate.io/
2018-05-05,2018-05-05T13:21:19.3500932Z,2017-12-24T13:03:38.2179565Z,2018-05-05T13:21:19.3500932Z,2017-12-24T13:03:38.2179565Z,2017-10-08,4,652089.0,2018-05-05T13:20:58.0000000Z,2017-10-08T01:12:04.0000000Z,BTCTURK,BTCTurk,https://www.btcturk.com/
2018-05-05,2018-05-05T13:21:37.8773806Z,2017-09-21T13:39:33.4870179Z,2018-05-05T13:21:37.8773806Z,2017-09-21T13:39:33.4870179Z,2017-09-16,12,643603.0,2018-05-05T13:17:39.0000000Z,2017-09-16T00:53:48.0000000Z,INDEPENDENTRESERVE,Independent Reserve,https://www.independentreserve.com/
2018-05-05,2018-05-05T13:17:00.6545522Z,2017-09-21T13:36:24.9479094Z,2018-05-05T13:17:00.6545522Z,2017-09-21T13:36:24.9479094Z,2017-09-19,4,539189.0,2018-05-05T13:12:59.0000000Z,2017-09-19T11:20:44.0000000Z,COINFLOOR,coinfloor,https://www.coinfloor.co.uk/
2018-05-05,2018-05-05T13:17:41.1449065Z,2017-08-29T15:50:33.5497414Z,2018-05-05T13:17:41.1449065Z,2017-08-29T15:50:33.5497414Z,2017-06-07,23,514962.0,2018-05-05T13:16:45.0000000Z,2017-06-07T04:46:35.0000000Z,DSX,DSX,https://dsx.uk
2018-05-05,2018-05-05T13:20:47.5821476Z,2017-12-28T21:34:28.8285993Z,2018-05-05T13:20:47.5821476Z,2017-12-28T21:34:28.8285993Z,2017-12-27,66,470161.0,2018-05-05T13:18:30.0000000Z,2017-12-27T12:49:47.0000000Z,ABUCOINS,Abucoins,https://abucoins.com/
2018-05-05,2018-05-05T13:21:45.7120000Z,2018-01-24T00:21:32.6002443Z,2018-05-05T13:21:45.7120000Z,2018-01-24T00:21:32.6002443Z,2017-11-29,160,332795.0,2018-05-05T13:19:20.0000000Z,2017-11-29T02:55:41.0000000Z,SOUTHXCHANGE,SouthXchange,https://www.southxchange.com/
